board_id,chip_id,channel_id,detector_id,plane_type,strip_id,pedestal,noise_sigma,gain,polarity,status
0,0,118,1,0,48,-550.654,10.0171,1,1,0
0,0,119,1,0,16,-532.623,10.4907,1,1,0
0,0,120,1,0,104,-601.382,12.6672,1,1,0
0,0,121,1,0,72,-564.526,10.8597,1,1,0
0,0,122,1,0,40,-545.652,10.1516,1,1,0
0,0,123,1,0,8,-546.524,11.2251,1,1,0
0,0,124,1,0,96,-605.742,11.6348,1,1,0
0,0,125,1,0,64,-585.07,10.5558,1,1,0
0,0,126,1,0,32,-524.912,10.1911,1,1,0
0,0,127,1,0,0,-543.251,13.2829,1,1,0
0,1,0,1,0,255,-633.14,16.3408,1,1,0
0,1,1,1,0,223,-609.729,14.1111,1,1,0
0,1,2,1,0,191,-550.275,12.8651,1,1,0
0,1,3,1,0,159,-528.444,12.2935,1,1,0
0,1,4,1,0,247,-630.443,15.0091,1,1,0
0,1,5,1,0,215,-599.253,12.6259,1,1,0
0,1,6,1,0,183,-549.991,12.8914,1,1,0
0,1,7,1,0,151,-541.801,12.7181,1,1,0
0,1,8,1,0,239,-622.729,15.182,1,1,0
0,1,9,1,0,207,-585.227,12.8036,1,1,0
0,1,10,1,0,175,-557.769,12.2636,1,1,0
0,1,11,1,0,143,-507.969,12.8089,1,1,0
0,1,12,1,0,231,-611.921,16.1913,1,1,0
0,1,13,1,0,199,-566.209,12.6642,1,1,0
0,1,14,1,0,167,-531.004,12.094,1,1,0
0,1,15,1,0,135,-512.475,13.0012,1,1,0
0,1,16,1,0,254,-617.214,16.1898,1,1,0
0,1,17,1,0,222,-602.418,13.0056,1,1,0
0,1,18,1,0,190,-555.356,12.2303,1,1,0
0,1,19,1,0,158,-524.425,11.9413,1,1,0
0,1,20,1,0,246,-633.528,14.4571,1,1,0
0,1,21,1,0,214,-594.221,12.4511,1,1,0
0,1,22,1,0,182,-551.88,11.5817,1,1,0
0,1,23,1,0,150,-519.063,11.9448,1,1,0
0,1,24,1,0,238,-624.913,14.3722,1,1,0
0,1,25,1,0,206,-590.923,12.4048,1,1,0
0,1,26,1,0,174,-543,11.6368,1,1,0
0,1,27,1,0,142,-521.88,12.2789,1,1,0
0,1,28,1,0,230,-609.499,13.2785,1,1,0
0,1,29,1,0,198,-572.77,11.9693,1,1,0
0,1,30,1,0,166,-527.812,11.5525,1,1,0
0,1,31,1,0,134,-503.702,12.5126,1,1,0
0,1,32,1,0,253,-624.788,15.9151,1,1,0
0,1,33,1,0,221,-605.861,14.0357,1,1,0
0,1,34,1,0,189,-553.906,12.7249,1,1,0
0,1,35,1,0,157,-526.747,12.3487,1,1,0
0,1,36,1,0,245,-641.034,14.6335,1,1,0
0,1,37,1,0,213,-590.247,12.758,1,1,0
0,1,38,1,0,181,-535.456,12.6078,1,1,0
0,1,39,1,0,149,-516.854,12.7467,1,1,0
0,1,40,1,0,237,-609.009,15.0995,1,1,0
0,1,41,1,0,205,-583.864,12.7378,1,1,0
0,1,42,1,0,173,-524.647,12.941,1,1,0
0,1,43,1,0,141,-528.56,12.7735,1,1,0
0,1,44,1,0,229,-607.165,15.4502,1,1,0
0,1,45,1,0,197,-553.097,13.7704,1,1,0
0,1,46,1,0,165,-531.229,12.1208,1,1,0
0,1,47,1,0,133,-509.984,13.6036,1,1,0
0,1,48,1,0,252,-617.169,15.5664,1,1,0
0,1,49,1,0,220,-603.419,12.7868,1,1,0
0,1,50,1,0,188,-551.225,11.8537,1,1,0
0,1,51,1,0,156,-531.231,11.7771,1,1,0
0,1,52,1,0,244,-615.398,13.9156,1,1,0
0,1,53,1,0,212,-591.725,12.2092,1,1,0
0,1,54,1,0,180,-537.495,11.547,1,1,0
0,1,55,1,0,148,-520.385,11.8236,1,1,0
0,1,56,1,0,236,-618.198,14.1316,1,1,0
0,1,57,1,0,204,-585.194,12.1386,1,1,0
0,1,58,1,0,172,-523.734,12.0481,1,1,0
0,1,59,1,0,140,-503.679,12.1882,1,1,0
